UPC,Price,AvailableQty
"000570007102",22.67,74
"000570208103",22.67,96
"000570209100",22.67,40
"000570962050",22.67,95
"000570965815",22.67,13
"000570965846",22.67,7
"000578000013",22.67,59
"000578000044",22.67,86
"000578000051",22.67,65
"000578000068",22.67,68
"000578000075",22.67,64
"000579000029",22.67,24
"000579000050",22.67,79
"000579000067",22.67,91
"000579000074",22.67,44
"000579000081",22.67,50
"000579000098",22.67,85
"000579000203",22.67,89
"000579000302",22.67,63
"000579000401",22.67,20
"000579000500",22.67,24
"000579000555",22.67,10
"000579000609",22.67,54
"000579000708",22.67,96
"000579000807",22.67,48
"000579000814",22.67,52
"000579000906",22.67,87
"000579030019",22.67,83
"000579037551",22.67,99
"000579375905",22.67,47
"000579420001",22.67,21
"000579515004",22.67,42
"000579515011",22.67,23
"000579515028",22.67,73
"000579515035",22.67,47
"000579515042",22.67,96
"000662457143",22.67,16
"000662738129",22.67,34
"008054011102",22.67,89
"008054011119",22.67,30
"008054011126",22.67,11
"008054011140",22.67,28
"008054011157",22.67,46
"008054011164",22.67,64
"008054011171",22.67,18
"008054011188",22.67,77
"008054011201",22.67,69
"008054011225",22.67,97
"008054011256",22.67,54
"008054011263",22.67,19
"008054011294",22.67,50
"008054011331",22.67,9
"008054011386",22.67,31
"008054012000",22.67,66
"008054012017",22.67,59
"008054012024",22.67,35
"008054012048",22.67,88
"008054012062",22.67,72
"008054012079",22.67,20
"008102110016",22.67,12
"008102188039",22.67,79
"008102197635",22.67,24
"008102322341",22.67,3
"008102365591",22.67,58
"008122007624",22.67,82
"008176194103",22.67,95
"008176258355",22.67,68
"008176393100",22.67,9
"008176500003",22.67,11
"008176602103",22.67,1
"008176602202",22.67,47
"008176602301",22.67,59
"008176603001",22.67,42
"008176700014",22.67,40
"008176700403",22.67,19
"008176700502",22.67,70
"008176799520",22.67,66
"008217001001",22.67,20
"008217003005",22.67,93
"008217005207",22.67,68
"008217005306",22.67,15
"008217005405",22.67,30
"008217005702",22.67,5
"008217007102",22.67,74
"008217007201",22.67,40
"008217007300",22.67,81
"008261000210",22.67,60
"008261010011",22.67,12
"008261010103",22.67,68
"008261021604",22.67,42
"008261040315",22.67,66
"008261060108",22.67,10
"008261070107",22.67,33
"008261071104",22.67,92
"008261090310",22.67,88
"008261110193",22.67,59
"008261120314",22.67,28
"008261960071",22.67,30
"008261970056",22.67,34
"008261970070",22.67,28
"008261980079",22.67,38
"008381100920",22.67,78
"008381150963",22.67,66
"008381160962",22.67,5
"008381220932",22.67,7
"008381251004",22.67,88
"008381301945",22.67,73
"008381400921",22.67,65
"008381550039",22.67,79
"008381600949",22.67,96
"008381904931",22.67,69
"008381955964",22.67,26
"008463000315",22.67,84
"008706233524",22.67,24
"008706235528",22.67,28
"008933990016",22.67,73
"008933990030",22.67,79
"008933990184",22.67,75
"008933990207",22.67,85
"009071100015",22.67,91
"009071100022",22.67,67
"009071100046",22.67,92
"009071100053",22.67,53
"009071100060",22.67,28
"009071100077",22.67,15
"009071100084",22.67,62
"009071100107",22.67,77
"009071100114",22.67,92
"009071100169",22.67,1
"009071100176",22.67,30
"009071100190",22.67,46
"009071100206",22.67,81
"009071100220",22.67,89
"009071100251",22.67,89
"009071100268",22.67,54
"009071200012",22.67,91
"009071200036",22.67,65
"009071200067",22.67,69
"009071200074",22.67,56
"009071200081",22.67,96
"009273007006",22.67,27
"009273017012",22.67,4
"009273027011",22.67,44
"009273037003",22.67,39
"009273047002",22.67,58
"009273047125",22.67,28
"009273047132",22.67,45
"009273077009",22.67,50
"009273097892",22.67,88
"009273127995",22.67,47
"009273137116",22.67,30
"009273137123",22.67,17
"009273137130",22.67,25
"009273137987",22.67,20
"009273147993",22.67,42
"009273155998",22.67,34
"009273167007",22.67,65
"009273177129",22.67,62
"009273197066",22.67,84
"009273197134",22.67,17
"009273197141",22.67,82
"009273207123",22.67,83
"009273207130",22.67,12
"009273227121",22.67,97
"009273227138",22.67,41
"009385100008",22.67,47
"009385100015",22.67,77
"009385100978",22.67,33
"009385100985",22.67,43
"009385100992",22.67,46
"009385108004",22.67,39
"009385108981",22.67,95
"009385108998",22.67,6
"009385109001",22.67,99
"009385110007",22.67,6
"009385110991",22.67,66
"009385200968",22.67,70
"009385200975",22.67,14
"009385200982",22.67,64
"009385200999",22.67,23
"009385202559",22.67,91
"009385202771",22.67,90
"009385202801",22.67,90
"009385205017",22.67,68
"009385208001",22.67,8
"009385208995",22.67,49
"009385210950",22.67,66
"009385210981",22.67,15
"009385210998",22.67,7
"009385290013",22.67,99
"009385300965",22.67,82
"009385300972",22.67,67
"009385300989",22.67,91
"009385300996",22.67,37
"009385310957",22.67,88
"009385310964",22.67,33
"009385310988",22.67,66
"009385310995",22.67,13
"009385400009",22.67,77
"009385400016",22.67,1
"009385500013",22.67,96
"009385600003",22.67,74
"009385610019",22.67,91
"009385660007",22.67,35
"009385806016",22.67,22
"009385901018",22.67,13
"009385990012",22.67,65
"009450031091",22.67,92
"009450031190",22.67,42
"009450031299",22.67,92
"009460000018",22.67,53
"009460000025",22.67,21
"009460000032",22.67,14
"009460000056",22.67,82
"009460000063",22.67,98
"009460000070",22.67,90
"009460000087",22.67,81
"009460000094",22.67,31
"009460000100",22.67,79
"009460000124",22.67,90
"009460000131",22.67,19
"009460000148",22.67,6
"009460000155",22.67,59
"009460000179",22.67,89
"009460000247",22.67,60
"009460000261",22.67,59
"009460000285",22.67,25
"009460000315",22.67,72
"009460000322",22.67,5
"009460000339",22.67,22
"009460000377",22.67,13
"009460000391",22.67,88
"009460000551",22.67,2
"009460002012",22.67,30
"010006202452",22.67,62
"010086100471",22.67,75
"010086100921",22.67,24
"010086101171",22.67,9
"010086101300",22.67,96
"010086101379",22.67,13
"010086101386",22.67,18
"010086101393",22.67,26
"010086101416",22.67,40
"010086101539",22.67,61
"010086101782",22.67,15
"010086101812",22.67,69
"010086101850",22.67,58
"010086101867",22.67,73
"010086102000",22.67,95
"010086102505",22.67,62
"010086102529",22.67,57
"010086103403",22.67,73
"010086103410",22.67,70
"010086103434",22.67,78
"010086103441",22.67,33
"010086103458",22.67,58
"010086103717",22.67,28
"010086103823",22.67,67
"010086103830",22.67,49
"010086103847",22.67,32
"010086103854",22.67,13
"010086104035",22.67,72
"010086105360",22.67,64
"010242120015",22.67,67
"010242120022",22.67,56
"010242120190",22.67,76
"010242120251",22.67,34
"010242120268",22.67,72
"010465008909",22.67,87
"010465109002",22.67,20
"010465109019",22.67,20
"010465119605",22.67,11
"010465139306",22.67,21
"010465208507",22.67,87
"010465208903",22.67,2
"010465208910",22.67,88
"010465208927",22.67,98
"010465218902",22.67,97
"010465228802",22.67,93
"010465228901",22.67,80
"010465229502",22.67,52
"010465229908",22.67,27
"010465238900",22.67,20
"010465329011",22.67,63
"010465349101",22.67,70
"010465449412",22.67,46
"010465500403",22.67,45
"010465520500",22.67,32
"010465530509",22.67,61
"010465709400",22.67,41
"010465709509",22.67,15
"010465709608",22.67,82
"010465709622",22.67,3
"010465809209",22.67,93
"010465819208",22.67,46
"010465829009",22.67,3
"010465829023",22.67,95
"010465839107",22.67,53
"010465849601",22.67,83
"010465869302",22.67,98
"010465909008",22.67,8
"010642111484",22.67,57
"010642400144",22.67,42
"010642402124",22.67,76
"010986000017",22.67,76
"010986000024",22.67,22
"010986002219",22.67,8
"010986002226",22.67,61
"010986002509",22.67,82
"010986002516",22.67,75
"010986002608",22.67,37
"010986002615",22.67,74
"010986002653",22.67,87
"010986002707",22.67,68
"010986002806",22.67,43
"010986002813",22.67,37
"010986002905",22.67,92
"010986002912",22.67,94
"010986003032",22.67,29
"010986003056",22.67,89
"010986003063",22.67,56
"010986003087",22.67,23
"010986003094",22.67,6
"010986003629",22.67,84
