UPC,Price,AvailableQty
"000570007102",26.76,51
"000570208103",26.76,60
"000570209100",26.76,22
"000570962050",26.76,92
"000570965815",26.76,50
"000570965846",26.76,80
"000578000013",26.76,63
"000578000044",26.76,76
"000578000051",26.76,30
"000578000068",26.76,84
"000578000075",26.76,92
"000579000029",26.76,6
"000579000050",26.76,86
"000579000067",26.76,46
"000579000074",26.76,59
"000579000081",26.76,1
"000579000098",26.76,23
"000579000203",26.76,5
"000579000302",26.76,19
"000579000401",26.76,34
"000579000500",26.76,25
"000579000555",26.76,31
"000579000609",26.76,45
"000579000708",26.76,25
"000579000807",26.76,24
"000579000814",26.76,46
"000579000906",26.76,78
"000579030019",26.76,57
"000579037551",26.76,74
"000579375905",26.76,4
"000579420001",26.76,64
"000579515004",26.76,67
"000579515011",26.76,63
"000579515028",26.76,71
"000579515035",26.76,84
"000579515042",26.76,32
"000662457143",26.76,76
"000662738129",26.76,47
"008054011102",26.76,84
"008054011119",26.76,48
"008054011126",26.76,85
"008054011140",26.76,1
"008054011157",26.76,51
"008054011164",26.76,79
"008054011171",26.76,14
"008054011188",26.76,95
"008054011201",26.76,21
"008054011225",26.76,32
"008054011256",26.76,22
"008054011263",26.76,17
"008054011294",26.76,23
"008054011331",26.76,39
"008054011386",26.76,15
"008054012000",26.76,60
"008054012017",26.76,93
"008054012024",26.76,63
"008054012048",26.76,11
"008054012062",26.76,1
"008054012079",26.76,15
"008102110016",26.76,36
"008102188039",26.76,6
"008102197635",26.76,15
"008102322341",26.76,94
"008102365591",26.76,22
"008122007624",26.76,52
"008176194103",26.76,5
"008176258355",26.76,64
"008176393100",26.76,98
"008176500003",26.76,31
"008176602103",26.76,42
"008176602202",26.76,6
"008176602301",26.76,1
"008176603001",26.76,47
"008176700014",26.76,41
"008176700403",26.76,78
"008176700502",26.76,57
"008176799520",26.76,73
"008217001001",26.76,45
"008217003005",26.76,87
"008217005207",26.76,75
"008217005306",26.76,4
"008217005405",26.76,64
"008217005702",26.76,45
"008217007102",26.76,34
"008217007201",26.76,2
"008217007300",26.76,37
"008261000210",26.76,29
"008261010011",26.76,47
"008261010103",26.76,40
"008261021604",26.76,51
"008261040315",26.76,0
"008261060108",26.76,93
"008261070107",26.76,40
"008261071104",26.76,58
"008261090310",26.76,36
"008261110193",26.76,95
"008261120314",26.76,70
"008261960071",26.76,54
"008261970056",26.76,48
"008261970070",26.76,61
"008261980079",26.76,57
"008381100920",26.76,46
"008381150963",26.76,49
"008381160962",26.76,97
"008381220932",26.76,64
"008381251004",26.76,87
"008381301945",26.76,49
"008381400921",26.76,50
"008381550039",26.76,42
"008381600949",26.76,27
"008381904931",26.76,95
"008381955964",26.76,0
"008463000315",26.76,12
"008706233524",26.76,45
