UPC,Price,AvailableQty
"018200079863",9.49,194
"018200110306",19.49,179
"018200110474",9.49,159
"018200111686",16.49,175
"018200112188",13.99,50
"018200113086",13.99,192
"018200113499",16.49,162
"034100572433",16.49,88
"034100572563",13.99,55
"034100573126",16.49,125
"034100573409",13.99,168
"034100573416",19.49,100
"034100575052",5.29,29
"034100575090",9.49,59
"034100576325",9.49,25
"011034500039",28.99,127
"011034500053",14.99,0
"011034500077",7.99,178
"011034501005",14.99,183
"011034501012",7.99,80
"011034501029",12.99,21
"011034503801",7.99,182
"011034503818",7.99,70
"011034503825",13.99,50
"011034503832",3.99,35
"089744335852",14.99,167
"098709088504",19.99,26
"098709088535",14.99,38
"098709088580",19.99,1
"098709088603",24.99,152
"080480000127",76.99,82
"080480005221",42.99,106
"080480005245",29.99,106
"080480005252",19.99,134
"080480005269",15.39,34
"080480005276",7.99,184
"080480005283",5.49,22
"080480015206",29.99,141
"080480015305",19.99,170
"080480015329",29.99,31
"080480015404",15.39,15
"080480015459",15.39,67
"080480015602",7.99,75
"080480015701",5.49,25
"080480015800",3.99,89
"080480016210",2.99,176
"080480230005",39.98,17
"080480230012",33.99,73
"080480231002",49.99,1
"080480231019",32.99,37
"080480280000",17.99,4
"080480280017",13.99,146
"080480280024",10.99,157
"080480280031",7.99,83
"080480280048",5.49,83
"080480280055",2.99,172
"080480984403",55.31,1
"080480984410",109.99,36
"080480984427",169.99,21
"087116014633",17.99,11
"087116014657",13.99,19
"087116014664",7.99,193
"087116014671",10.99,49
"087116014701",2.99,118
"087116014749",5.49,49
