UPC,Price,AvailableQty
"018200079863",9.49,195
"018200110306",19.49,152
"018200110474",9.49,12
"018200111686",16.49,198
"018200112188",13.99,57
"018200113086",13.99,64
"018200113499",16.49,95
"034100572433",16.49,123
"034100572563",13.99,64
"034100573126",16.49,190
"034100573409",13.99,144
"034100573416",19.49,174
"034100575052",5.29,84
"034100575090",9.49,74
"034100576325",9.49,129
"011034500039",28.99,118
"011034500053",14.99,79
"011034500077",7.99,158
"011034501005",14.99,54
"011034501012",7.99,10
"011034501029",12.99,27
"011034503801",7.99,4
"011034503818",7.99,161
"011034503825",13.99,150
"011034503832",3.99,111
"089744335852",14.99,192
"098709088504",19.99,148
"098709088535",14.99,55
"098709088580",19.99,166
"098709088603",24.99,185
"080480000127",76.99,17
"080480005221",42.99,127
"080480005245",29.99,84
"080480005252",19.99,5
"080480005269",15.39,126
"080480005276",7.99,45
"080480005283",5.49,150
"080480015206",29.99,24
"080480015305",19.99,0
"080480015329",29.99,162
"080480015404",15.39,170
"080480015459",15.39,48
"080480015602",7.99,7
"080480015701",5.49,129
"080480015800",3.99,98
"080480016210",2.99,29
"080480230005",39.98,176
"080480230012",33.99,52
"080480231002",49.99,58
"080480231019",32.99,77
"080480280000",17.99,51
"080480280017",13.99,109
"080480280024",10.99,150
"080480280031",7.99,41
"080480280048",5.49,80
"080480280055",2.99,123
"080480984403",55.31,182
"080480984410",109.99,124
"080480984427",169.99,64
"087116014633",17.99,166
"087116014657",13.99,180
"087116014664",7.99,84
"087116014671",10.99,145
"087116014701",2.99,7
"087116014749",5.49,171
