UPC,Price,AvailableQty
"018200079863",9.49,94
"018200110306",19.49,24
"018200110474",9.49,96
"018200111686",16.49,73
"018200112188",13.99,185
"018200113086",13.99,52
"018200113499",16.49,158
"034100572433",16.49,178
"034100572563",13.99,176
"034100573126",16.49,97
"034100573409",13.99,108
"034100573416",19.49,35
"034100575052",5.29,21
"034100575090",9.49,118
"034100576325",9.49,169
"011034500039",28.99,173
"011034500053",14.99,65
"011034500077",7.99,139
"011034501005",14.99,166
"011034501012",7.99,135
"011034501029",12.99,55
"011034503801",7.99,94
"011034503818",7.99,51
"011034503825",13.99,140
"011034503832",3.99,193
"089744335852",14.99,56
"098709088504",19.99,105
"098709088535",14.99,122
"098709088580",19.99,127
"098709088603",24.99,54
"080480000127",76.99,83
"080480005221",42.99,11
"080480005245",29.99,64
"080480005252",19.99,146
"080480005269",15.39,154
"080480005276",7.99,71
"080480005283",5.49,128
"080480015206",29.99,3
"080480015305",19.99,104
"080480015329",29.99,79
"080480015404",15.39,80
"080480015459",15.39,153
"080480015602",7.99,174
"080480015701",5.49,173
"080480015800",3.99,59
"080480016210",2.99,123
"080480230005",39.98,56
"080480230012",33.99,95
"080480231002",49.99,16
"080480231019",32.99,132
"080480280000",17.99,26
"080480280017",13.99,182
"080480280024",10.99,138
"080480280031",7.99,89
"080480280048",5.49,122
"080480280055",2.99,3
"080480984403",55.31,83
"080480984410",109.99,26
"080480984427",169.99,107
"087116014633",17.99,54
"087116014657",13.99,135
"087116014664",7.99,177
"087116014671",10.99,195
"087116014701",2.99,127
"087116014749",5.49,110
