UPC,Price,AvailableQty
"018200079863",9.49,146
"018200110306",19.49,87
"018200110474",9.49,88
"018200111686",16.49,55
"018200112188",13.99,103
"018200113086",13.99,175
"018200113499",16.49,74
"034100572433",16.49,176
"034100572563",13.99,75
"034100573126",16.49,12
"034100573409",13.99,60
"034100573416",19.49,186
"034100575052",5.29,155
"034100575090",9.49,135
"034100576325",9.49,16
"011034500039",28.99,165
"011034500053",14.99,100
"011034500077",7.99,173
"011034501005",14.99,82
"011034501012",7.99,52
"011034501029",12.99,176
"011034503801",7.99,45
"011034503818",7.99,153
"011034503825",13.99,164
"011034503832",3.99,44
"089744335852",14.99,53
"098709088504",19.99,129
"098709088535",14.99,122
"098709088580",19.99,197
"098709088603",24.99,174
"080480000127",76.99,186
"080480005221",42.99,97
"080480005245",29.99,10
"080480005252",19.99,76
"080480005269",15.39,77
"080480005276",7.99,96
"080480005283",5.49,148
"080480015206",29.99,132
"080480015305",19.99,129
"080480015329",29.99,134
"080480015404",15.39,188
"080480015459",15.39,85
"080480015602",7.99,165
"080480015701",5.49,24
"080480015800",3.99,60
"080480016210",2.99,85
"080480230005",39.98,182
"080480230012",33.99,130
"080480231002",49.99,133
"080480231019",32.99,148
"080480280000",17.99,139
"080480280017",13.99,57
"080480280024",10.99,173
"080480280031",7.99,177
"080480280048",5.49,137
"080480280055",2.99,44
"080480984403",55.31,155
"080480984410",109.99,80
"080480984427",169.99,78
"087116014633",17.99,153
"087116014657",13.99,48
"087116014664",7.99,24
"087116014671",10.99,170
"087116014701",2.99,161
"087116014749",5.49,147
